Reference_ID,species,name,somehitng random
pdfs3\NMHS-DB_RP-8172,*Bauhinia purpurea*,,
pdfs3\NMHS-DB_RP-8172,*Ficus nemoralis*,,
pdfs3\NMHS-DB_RP-8172,*Ficus roxburghii*,,
pdfs3\NMHS-DB_RP-8172,*Ficus subincisa*,,
pdfs3\NMHS-DB_RP-8172,None,None,Pinus wallichiana,None,Species,Pinaceae,Pinopsida,None,None,None,None,None,None,None,None,None,Blue Pine,None,None,None,None,None,Tree,Temperate forests (1600-2700m),None,Wild,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
pdfs3\NMHS-DB_RP-8172,*Pinus wallichiana*,Pinaceae
pdfs3\NMHS-DB_RP-8172,*Cedrus deodara*,Pinaceae
pdfs3\NMHS-DB_RP-8172,*Abies pindrow*,Pinaceae
pdfs3\NMHS-DB_RP-8172,*Picea smithiana*,Pinaceae
pdfs3\NMHS-DB_RP-8172,*Taxus wallichiana*,Taxaceae
pdfs3\NMHS-DB_RP-8172,*Betula utilis*,Betulaceae
pdfs3\NMHS-DB_RP-8172,*Juniperus* spp.,Cupressaceae
pdfs3\NMHS-DB_RP-8172,*Rhododendron* spp.,Ericaceae
pdfs3\NMHS-DB_RP-8172,*Salix* spp.,Salicaceae
pdfs3\NMHS-DB_RP-8172,*Lonicera* spp.,Caprifoliaceae
pdfs3\NMHS-DB_RP-8172,*Cotoneaster* spp.,Rosaceae
pdfs3\NMHS-DB_RP-8172,*Aconitum* spp.,Ranunculaceae
pdfs3\NMHS-DB_RP-8172,*Aquilegia* spp.,Ranunculaceae
pdfs3\NMHS-DB_RP-8172,*Gentiana* spp.,Gentianaceae
pdfs3\NMHS-DB_RP-8172,*Pedicularis* spp.,Orobanchaceae
pdfs3\NMHS-DB_RP-8172,*Ranunculus* spp.,Ranunculaceae
pdfs3\NMHS-DB_RP-8172,*Iris* spp.,Iridaceae
pdfs3\NMHS-DB_RP-8172,*Potentilla* spp.,Rosaceae
pdfs3\NMHS-DB_RP-8172,*Sequoiadendron giganteum*,Cupressaceae
pdfs3\NMHS-DB_RP-8172,*Carex* spp.,Cyperaceae
pdfs3\NMHS-DB_RP-8172,*Taraxacum* spp.,Asteraceae
pdfs3\NMHS-DB_RP-8172,*Polygonum* spp.,Polygonaceae
pdfs3\NMHS-DB_RP-8172,*Artemisia* spp.,Asteraceae
pdfs3\NMHS-DB_RP-8172,*Nepeta* spp.,Lamiaceae
pdfs3\NMHS-DB_RP-8172,*Veronica* spp.,Plantaginaceae
pdfs3\NMHS-DB_RP-8172,*Ricciocarpus natans*,Ricciaceae
pdfs3\NMHS-DB_RP-8172,*Plagiochila*,Plagiochilaceae
pdfs3\NMHS-DB_RP-8172,*Porella*,Porellaceae
pdfs3\NMHS-DB_RP-8172,*Marchantia*,Marchantiaceae
pdfs3\NMHS-DB_RP-8172,*Riccia*,Ricciaceae
pdfs3\NMHS-DB_RP-8172,*Brachythecium*,Brachytheciaceae
